Title,Author,Date,Review,Rating
MASTER PIECE,abdouaouich,28 December 2020,"3:14 of great spectacle, perfect actors, an original scenario, sumptuous sets, an incredible reconstruction, there is everything in this film: emotion, joy, sadness, fear, ... James Cameron signs his masterpiece and surely one of the best movies of all time!",10/10
"Excellent big movie, for a big event...",dwpollar,23 March 2001,"1st watched 8/6/1998 - 10 out of 10(Dir-James Cameron): Excellent big movie, for a big event involving a big boat with directing of Titanic proportions(stop me please!!).  Tremendous detail on Titanic's sinking with a believable love story attached.",10/10
BEST.......!!!!!,egsyhart,19 October 2020,"I THINK THE BEST MOVIE I HAVE EVER SEEN IN MY WHOLE LIFE......
MIND BLOWING BEYOND IMAGINATION.....!!!!!",10/10
An epic masterpiece!,jake-law123,7 January 2011,"This is considered one of the best made films of all time. James Cameron outdoes himself big time, but this won't be the last epic he ever makes. The story of the Titanic like you've never seen it before. Epicness beyond anything reachable.The story is told in a flashback perspective, with Rose Dawson, a survivor of the Titanic, telling it to a group of scientists, and her granddaughter, telling about her experience on the Titanic, leading up to the fateful night where it would meet its historical doom. It also circles around her life changing star cross love affair with Jack Dawson, (Leonardo DiCaprio) another person on the Titanic.Begins with one of the greatest music scores of all time by James Horner, and then slowly takes us back to the very beginning. Goes incredibly smooth with the camera movement, making each and every individual scene epic as ever. The performances are beautiful as ever, with Billy Zane, Kate Winslet, Gloria Stuart, and Leo DiCaprio leading a brilliant cast.The first half is getting everything acquainted on the ship, and introducing all the characters, and setting the plot. The second half consists entirely of the boat sinking, which is very graphic. The visual effects are mind-blowing, with excellent and detailed parts of the ship. The music, editing, and setting really capture every single feeling and thought raced through the actual minds of the real people.One of three movies in history to win 11 Oscars. The others being Ben- Hur, and Lord of the Rings: The Return of the King. I had to watch the movie five more times until I finally managed to without crying. Its a real tear fest. Almost everybody in this film is crying. Its depressing as ever, but in a good way. It brilliantly captures the terror of the people. Its hard for a film to do that. James Cameron wasn't screwing around when he made this. Everything in this movie is excellent. Nothing is in fault, absolutely nothing. Everything is 100% accurate!This film killed at the box office, which it well should have. Its a film that will go down in history. A film that nobody will ever forget, and will always cherish every little moment this film brings.",9/10
typical love story but with a sinking boat,martinyoungb,13 May 2019,"So this is basically a typical story where a old woman who reminiscence about her past and tells the story on it. So the love story actually goes like this, poor class man wins ticket for the titanic in a game of poker (I think its a game of poker) and rushes to get on the boat that is about to leave. So when he is on the a couple of nights goes by and he sees a higher class woman trying to attempt to commit suicide by standing threating to jump of the ship into the deadly ice water. So after he intervenes and stops her from doing this they then get to know each other and fall in love.But as this is just another higher class meets lower class love story the thing that got me was just the amount of innocent deaths that was caused some guy not spotting a bloody gigantic ice berg in front of him which then leads to ship sinking and drowning thousands of innocent people.I personally loved this movie it is a real tear jerker, You will be joining in with rose and telling jack not to let go at end of the movie. It does tug on your heart but I do have to say this if your wanting a romantic disaster movie to complete your night then this is the film for you.",8/10
Grand Production of an Amazing Tale,gcd70,27 August 2008,"James Cameron has come of age in delivering this grand production of an amazing tale, one of the most fascinating true stories around. ""Titanic"" is every bit as good as everyone has been saying. You can see the three hundred million dollars up on the screen. Authenticity is second to none, as new footage is seamlessly faded in from old. Spectacular and awesome to say the least.All the facts and events are so fascinating you hardly need the human story provided. I certainly could have watched this as a documentary. James Cameron has left nothing to chance. I am hard pressed to imagine ""Titanic"" done better.The cast are all spot on and thoroughly enjoyable! Leonardo Di Caprio is the ideal devil-may-care Yankee who wins a ticket to sail to New York. Kate Winslett is perfect as the well-to-do little rich girl who hates her existence and Billy Zane is at his impressive best as the possessive fiancé who is heir to millions. The superlative support cast includes Kathy Bates, Frances Fisher, Bernard Hill, Johnathan Hyde, Victor Garber, Gloria Stuart and Suzy Amis.Grand, often haunting music is from Cameron regular James Horner. Editing is smart, and the film passes quickly though it is over three hours. The technical team have performed brilliantly, with computer graphics a particular treat. Set decoration (including a near to scale replica and incredibly intricate interiors) and Art Design are both amazing, recreating the most gallant ship of all with unerring grandeur and style. Cinematography sweeps through it all with panache.After viewing this, you'll feel you were there! Don't miss your chance to see this at the movies. I will certainly be boarding again!Saturday, February 28, 1998 - Village Sunshine Gold ClassIn an era basically void of epics, James Cameron has managed to produce a film that measures up with the likes of ""Ben Hur"". Grand, stylish, sweeping and larger than life is the best way to describe this astounding cinematic experience. I freely admit that I was one of the many cynics who, having heard of the film's monstrous budget, thought that ""Titanic"" would be the biggest flop of all time. I, like many, felt this 300 million dollar production would sink faster than the great ship herself.That was not the case, as history will now show, as ""Titanic"" has gone on to smash box office records, collecting a record equalling eleven Academy Awards along the way. The film's visuals alone justify this, with the ship of dreams brought fantastically back to life thanks to some awesome set design, huge scale replicas and access to the original blueprints. Mind blowing special effects, coupled with superior sound editing, make ""Titanic"" a must at the movies (preferably one with Digital Sound and a huge screen).Cameron brings it all together brilliantly, backed up as he is by a thoroughly enjoyable cast, including Leonardo Di Caprio, Kate Winslet, Billy Zane, Bill Paxton and Kathy Bates as the unsinkable Molly Brown. Final master stroke comes from maestro James Horner, whose haunting, beautiful score is the spirit of ""Titanic"", which of course inspired the love theme (a song Jim Cameron never wanted originally) ""My Heart Will Go On"".Saturday, May 30, 1998 - Knox District CentreJim Cameron's grand film of the fateful ""Titanic"" and her maiden voyage loses a great deal of its impact if viewed on anything other than a huge screen. It is still a fascinating tale of how the ship of dreams went to the bottom of the Atlantic for all the wrong reasons.Forget about DiCaprio (miscast) and Winslet (charming), they are mere scenery in a fascinating true story. All those mistakes! Not enough life boats, which weren't filled anyway. Only one boat returning for survivors. Going full speed with virtually zero visibility, no binoculars on the lookout. People locked behind gates below deck, and a seaman who tried to round a giant iceberg in an enormous ship that ""doesn't turn worth a dime"". If the Titanic had've struck head on, it would have stayed afloat.Special effects, sets and costumes are all awesome, but you do really need that huge screen. James Horner's score is top stuff too.Saturday, January 2, 1999 - Video",7/10
you call this rubbish an excuse for a film?!,smokyjoe123,4 May 2005,"Even if i tried for a million years, i could not make this film worse. But stick a robot and a giant llama in and hey, you've got a decent film. It's good when the main character dies at the end, but the other one doesn't because she gets to experience the same kind of trauma i went through by sticking with watching it. The plot is absolutely awful, the scriptwriters evidently have no imagination, and at 3 hours, i would literally rather watch my cat sleeping. the actual best part is the theme song at the credits, no only joking, that's as bad as the film is. anyway, if you have 3 hours to kill, do something else, this is absolute tripe.",1/10
Epic melodrama with superior set design and special effects,timothywalton-31924,11 February 2023,"Titanic is a marvellous, expansive film with the first rate special effects you expect from James Cameron, lending the feeling of vastness and realism you would feel. Lead acting performances are uniformly well done, though the dialogue they have to work with is disappointing. The film is hampered by an unimaginative screenplay, with trite dialogue and poor situations. But the film starts of well enough. The first one half or two hours are enthralling and even breezy, doing well to hide the films poor writing, and are a joy to watch. After this however, the tender love story which has played out is replaced with frantic, frenzy action for the next hour or so. This is the section after the ship strikes the iceberg, as the film attempts to, like a typical Hollywood film, milk every single situation and obstacle they can. This, rather than being suspenseful, just felt boring, languid, and contrived. Thankfully, the film reverts to tenderness in the last 20 minutes, with jack and rose on a piece of wood and the famous ending. The problematic bits of the film are hence those where Jack and rose are engaged in action rather than romance. Hence, I think the movie is overlong, and should've been trimmed down at the parts mentioned. Regardless, Titanic of course, is still a titanic film, with a doomed love story, and beautiful special effects, one definitely well worth a watch.",7/10
Certainly The Best Film Forever,nayansh,7 December 2020,"According to me, this film is simply the best. None other film made such an emotional impact on my heart. This film will always be remebered as a 'masterpiece'. I don't have words for my emotions towards this film. Words are less for such an excellent 'masterpiece'. I can just say that this will be my favourite film forever.",10/10
Yes. One of the greatest film of all.,bluecolor-45634,30 July 2020,"If anyone asks you about this film you should just go watch it. Because why not? It has everything. Love, happiness, sadness, suspense - you care about the characters so much. It's fantastic.",9/10
Titanic is a must see for every one,Luigi Di Pilla,27 May 2007,"Thank you very much for all the staff for this unforgettable and very special movie. Director James Cameron delivers an example how a deep and perfect developed story takes your breath away with high emotional elements. It's not the usual love romance film but it has some of its magic moments. At the end I couldn't avoid tears in my eyes and wished really another end. Leonardo Di Caprio will remain for ever in my heart with the sweet soundtrack and I don't understand why he didn't get the Oscar for his outstanding performance. Anyway, Di Caprio counts no doubt as one of the best actors in the present. At least TITANIC won 11 Oscars and I am not surprised because everything is perfect. The scenery on the Titanic was wonderful done and the special effects were great. The DVD will take a great place in my best of DVD collection. My wife and me rate a solid 8/10. A must see for every cinema fan.",8/10
This is CINEMA,yvksqupp,20 March 2023,Probably the best movie of all time! Everything about this movie is enchanting. You fall in love with the characters so intensely that you feel the tragedy as if you were there. A cinematic revolution like we've never seen before. Kate Winslet and Gloria Stuart deserved to win Oscars. Some of the best visual effects in film history. James Cameron. James Cameron showed how cinema is made. 25 years have passed and the special effects are still breathtaking. The soundtrack by the late James Horner is memorable. It was legendary. 11 Oscars was little for such magnitude and technical mastery. Everyone deserves to live this cinematic experience. Take a journey back in time. Fall in love. To making each day count! And never let go! I'll never let go Jack! I promise!,10/10
Over-rated,Arkaan,5 April 1999,"Titanic is not the greatest movie of all time ( except box office).  It is not the greatest movie of 1997.  The flaws are many: 1) We know the end to Titanic.  That makes the last hour and a half amazingly boring. 2) James Cameron trivialized it by using two fictional characters. 3) Not many of the performances were that great ( I liked Paxton, Bates, and Stewart) 4) Overlong",No Rating
Interesting...,charlesfrappier,11 July 2001,"Some love it, some hate it.  But no one remains indifferent to it.  The fact that Titanic can raise such passionate raves and rants, even three years after release, testifies of the impact it made.  As for me, it's in my top ten, probably forever.  Sure, the story lacks, sure, the dialogue was wooden at times, but that movie stayed with me for weeks after I saw it for the first time.  Few movies have done it for me to that extent.",No Rating
The Most Wonderful Movie Ever to Grace This Planet... Period,j-jessie-weaver,31 October 2012,"James Cameron's ""Titanic"" is just one of those movies I can watch all day and never get sick of. When it comes on television, I watch it immediately. There is simply nothing bad about this film that'll make you want to hate it.Every scene from ""Titanic"" from start to finish is fantastic; the love scenes to the final moments. You'll find yourself getting way into the plot, as well as feeling for the characters.Leonardo DiCaprio and Kate Winslet are brilliant as Jack and Rose. Once they enter the picture, you cannot help but love any moment they spend together, and their ""forbidden"" romance is so emotional and powerful.The ship's final moments will keep you on the edge of your seat as well as shock you. James Cameron does an excellent job of recreating the sinking. It's hard to imagine that a horrible incident like this happened 100 years ago. Cameron marvels at bringing the disaster to life.On the whole, ""Titanic"" is a wonderful movie. Nothing can describe the sheer greatness coming out of it. If you haven't seen it, I strongly suggest you give it a try.MY RATING: 10 out of 10.",10/10
Epic Romance,benblankenship-20805,21 July 2020,"One of my all time favorites , deserves a much higher rating . There is no romantic movie that could rival it . James Cameroon's crafting of Titanic, and Leonardo and Kate's acting will never age . Left an emotional impact for days .",10/10
Mixed emotions after seeing it years later.,DhavalVyas,27 August 2004,"Titanic' was quite the phenomenon when it came out. There is no movie that I can think of, at least in my lifetime, that became the cultural event that it did. There were many concerns within the film community that the film was going to be a disaster. James Cameron had spent a long time finishing the film and it was the most costly film ever made. Many people thought it was bring an end to his career. All these concerns and predictions were shattered when 'Titanic' came out; it became the highest grossing movie ever and it won more Academy awards than any other movie. It skyrocketed the careers of both Kate Winslet and Leo DiCaprio. I went to the theaters to see it with family and friends. It was an incredible experience and several people around me were crying. There were very few movies I had ever seen before that had mesmerized me as much as this movie did.I watched this movie in its entirety for the first time in years. The reaction is much different now and the film seems much less impressive. First of all, the graphics in 'Titanic' have not aged well. When the ship is sinking, the CGIs look really fake and dated. Also, the model ship they used doesn't look very good either. It looks cheap and like it was made out of plastic! This does not surprise me because most films do not age well; a new generation of film lovers will not find certain films as impressive as the last generation. Putting that aside, the story of 'Titanic' is not that bad. I think most people know what the story is about so I do not need to explain it. The acting is slightly above average, but the screenplay is so clichéd and corny, I can understand the acting did not need to be that impressive. The last forty minutes of the film consists of the two main characters shouting, ""Jack, Jack, Jack, Jack! Rose, Rose, Rose, Rose!"" They must love each other so much that they can't think of anything else to say.I don't think 'Titanic' is destined to become a classic. Even though it made so much money and won so many awards, I think most people now see the movie as an embarrassment. Now that I am older and wiser, 'Titanic' just seems like a mediocre film. Pretty disappointing considering how much the movie was loved when it first came out.",6/10
love,v-19461,2 June 2020,"""I figure life is gift and i don't intend on wasting it.You never know what hand you're going to get dealt next.You learn to take life as it comes at you. """,9/10
"""Love can touch us one time and last for a lifetime""",Rawal_Afzal,10 October 2015,"The greatest film in the history of mankind, the most engaging love story ever made, this film has mesmerised me like no other on the face of earth. After watching once in childhood I watched this on again at the very start of 2011, and have ever since watched it a thousand times. I am such a huge fan of this film that I have even dedicated a poem to it, consisting of 53 verses (a shame I have never shared it online fearing plagiarism, a fear quite justified given the number of fans it has online). I also watched it at a cinema when it was released in 3D, on the 14th of April 2012, either hours or a day short of the tragedy's 100th anniversary!Each time I watch this film I tend to stay quiet a few hours afterwards and usually have that heaviness in my voice; it just affects my like no other film can. Just to avoid looking like an emotional fool, I usually start a conversation with anyone who happens to be sitting next to me so that I don't end up being in tears at the scene when Jack dies.The great thing about the love story was the joy that you so felt for them. So many hurdles stood in their way, there were so many things to fear from, yet they bore every hardship simply looking into each other's eyes. It is one great display of what the power of love is and what love can make us do. They way they rescue each other from one situation to the other, and the way the whole story builds up, and that once in a lifetime tragic ending scene, it is masterly work by James Cameron.Besides that, the whole depiction of the way the ship sinks, the horror in the end, the way the people die by either 'slipping' from it or in the freezing cold, the panic shown at the time it hits the iceberg, all of it is pure brilliance!Lastly, it should not at all be criticized for not being historically accurate, as for that you better watch a documentary film. They had to put up a build-up to the disaster that it was.",10/10
Good Will Hunting and LA Confidential were much better,Umblezi,2 February 2000,"Too bad about the cheesy special effects- at least the storyline and acting were good. I firmly believe this film winning best film is the most unjust occurrence at the academy awards, along with CITIZEN KANE not winning best picture, and Marlon Brando for best actor in A STREETCAR NAMED DESIRE. The screenplay and the acting are the most important aspects of any film, and since Titanic was deficient in both areas it should not have received the honour of best film. Granted, the special effects are wonderous and should be honoured, but as a whole the film was not a masterpiece, it did not inspire, and they took far too long to die. There were far better films in 1997, due to their superior screenplay and acting talent, but they were snubbed because of this. It really makes one question the credibility of the academy.",2/10
Plucky oirisher woos spunky Brit...,ShippersAreEvil,1 March 2019,"...oh, and a ship sinks.Impossible to watch in a single sitting",1/10
A movie that teaches you what infatuation is.,YashodeepGolhar,5 March 2023,"James Cameron's Titanic is without a doubt the most accurate version of the ship, the people and the events that took place on a cold April night in 1912 on the North Atlantic. The sinking of the Titanic immortalized Jack and Rose in their love. The most beautiful love is often regret. Without long-term love, eternal love disappears. James Cameron tells us in a piece: Believe in love. But at the same time, it also suggests that without eternal love, no matter how beautiful love is, it cannot compete with life. Rose could die for love, but in the end, thanks to Jack's grace and pleading, he chooses to live for love, and the man left behind is miserable. When Rose, who is an old woman, stands by the boat and throws the heart of the sea back into the sea, I think that was its best destination.",10/10
Blech!,mvg,23 March 1999,"This was arguably the most over-hyped movie of all time. Some of the special effects were great, but others looked extremely amateur indeed. The dialogue was full of cliches and the plot was so predictable. Yeah, I know we all knew the ship was going to sink, but even the love story plot was like a Barbara Cartland novel. Kate Winslet looked great, but my only thoughts in the final scenes were that I wished Leonardo DiCaprio's character would hurry up and die, so the torture could end more quickly.Blech!",1/10
Goes without saying,JayJayE4,17 August 2020,"This has to be one of the best crafted movies ever made this came out in 1997 this movie doesn't really age at all, I watched a lot of documentaries about the titanic because I just was fascinated by that event that took place, the love story was cool for the girls but yes 10/10. All over the place with a this movie",10/10
Cinematic Masterpiece,danielxsoares,13 July 2022,"It never ceases to amaze. A whirlwind of emotions every time I watch it. And this is coming from someone who's not really into the romance genre.Leo and Kate are absolutely phenomenal, their chemistry second to none. And James Cameron proves that he's a force to be reckoned with.",10/10
The worst movie ever,antbabe,13 November 1998,I can't believe that people actually enjoyed this movie. It is a terrible movie with horrible actors and a horrific script. It feels like a 3rd rate tv-movie. I went to see this with some of my friends and about 5 of us cried and the rest of us were laughing hysterically at stupidity of the dialogue. I would only see it again if you paid me all of its profits.,1/10
One of the greatest movies ever!!!!!,leonsott,12 December 2022,"I was figuring out what movie to watch and realised that I hadn't seen titanic in years. When I put on I was immediately immersed and by the end of it I was in tears. I completely forgot how brilliant this film was. It builds the atmosphere so well and three hours flies by. It's no surprise it won a staggering eleven Oscars!The movie is a masterpiece and I am greatly disappointed that it only has a rating of 7.9. HOW?!This film should one hundred percent be up there with the top ten. It is brilliant, emotional and exciting all at the same time.This film also has qualities that I really enjoy. Most movies nowadays try to fit into and age rating. If they want an R rati g they'll fill it with loads of gore. If they want a PG-13 they'll try to not go to over the top. But this film just shows you exactly what it was like and instead of focusing on getting a certain age rating they just made a beautiful film and then got given what age it should be for.As I said one of the greatest movies of all time.Thank you James Cameron.",10/10
grossly over rated,dick-53,2 November 1998,"Too bad the saccharine plots, banal dialogue and music,and patently phony seascapes diminished the special effects,which were well done.The crude behavior and talk of the salvage team in the Titanic graveyard were particularly offensive.",No Rating
A Commercial Movie With Half A Naked Woman & 194 Minutes Of Boredom & Back Ache.,sarah-132-61906,13 October 2014,Titanic Is A Commercial Movie With Half Naked Woman Scene &194 Minutes Of Absolute Boredom & Back Ache.I Saw This DVD and I could not tolerate sitting more than 3 hours like a couch potato for a commercial movie that is filled with boredom.Titanic Has Sex Scene Of Half A Naked Woman Posing Half Nude For The Painting. This Scene Caused The Movie To Be Purely Commercial & Perhaps Rated R For Nudity.In My Opinion James Cameron's Movie Could Have Been So Much Better Without This Unnecessary Nudity Scene Unless He Wants To Attract People To Seeing It. We Know Very Much How Nudity & Sex Sells!.,1/10
Diminishing returns,Chrissie,10 April 1999,"I forget what prompted me to see Titanic for the first time -- I think it was a comment I read in an article by a Japanese man who said he was moved by the bravery of the men putting wives and children aboard lifeboats and telling gallant lies to comfort the little ones.See it I did, however, and I was so visually stunned I entirely missed how lousy the movie was.I went to see it a second time because my son had been reading about the Titanic and wanted to see how the sinking was depicted. This time I noticed how lame the characters and plot were.I went to see it a third time because a friend of mine who doesn't have a car asked me to bring him and offered to treat me and my kids to popcorn and sodas, and pay for our tickets, if I'd take him. That last time I left the theater absolutely outraged.Titanic is a sorry example of the moral decay of western civilization. Characters we were supposed to sympathize with were elbowing women and children out of their way to save their own miserable skins. Instead of reaching out to help the woman clutching a baby, Kate and Leo reminisce about the night they met. Leonardo hefts the worthless and shallow Kate onto the floating door to save her life, when he could have saved a dozen innocent children instead. Titanic was a monumental ego-trip and monument to selfishness. The only sympathetic characters were the designer, the captain, and the Irish widow with the two small children. I could smack Cameron in frustration -- imagine what a wonderful plot he could have built around this woman and Kate's shallow character! Picture it -- the widow flees Ireland to join her brother in America after the town rich creep offers to save her from poverty at the expense of her virtue. The widow sees Kate on the railing and gives her a picture of what suffering really is. Take it from there -- it can go in any number of directions far more interesting than the cookie-cutter lust story. Pathetic.As I told my kids on the drive home from the theater, ""If you every survive a shipwreck by ignoring the cries of drowning children, don't bother coming home.""",4/10
Amazing,laucon,23 February 2008,"I fell in love with this movie the first time I saw it. But what I sometimes get annoyed at (and Man in the Iron Mask had the exact same problem) is that everyone is oohing and awwing at Leo's hotness when they don't realize the philosophy behind it. The real message of this movie is that if we knew what would happen tomorrow, there would be no point in living. We just have to take things as they come because there is no predicting what tomorrow will hold. So basically, caution is life's curse. Another philosophical message of this movie which is also political is that we have no control over the lives we're born into. We just have to make the best of them. I love this movie and I wish others would appreciate it the same way that I do.",No Rating
Titanic is the most beautiful and tragic story humans have ever told,tales-pizziolo,24 May 2023,"I first saw Titanic as a child and remember liking it, mom used to listen to the soundtrack at home growing up, then I saw the movie again in 2012 for the hundred year anniversary of the sinking and loved it, I actually became very obsessed with it back then and my high school friends even made fun of me for it. Then in February this year I watched it again in IMAX and was blown away. This movie does not get old. Such a masterpiece. At the end of the film the girl next to me cried for 5 minutes as the credits flew by. Not a dry tear duct in that cinema. THAT'S WHAT MOVIE MAGIC IS ALL ABOUT BABY! Something about Titanic reminds us all of true love. Jack and Rose's romance is true love put into action amidst class divides and tragedy. James Horner's score makes me Hornee, absolutely beautiful. I listened to the full soundtrack 10 minutes ago, and it's actually what prompted me to write this review.I think Titanic is my favourite film of all time...",10/10
An Unitentional Social Commentary,sschlenker,30 September 2008,"I'll start with the good in this movie- the production design and some of the supporting acting.Now the bad- pretty much everything elseEveryone says, no, you've got it wrong because it's truly beautiful. Well, I hate to break it to you, but I am a film lover who does like touching, beautiful dramas. I'm not some guy who sits around criticizing movies. But this is just disturbing. The message of this film is basically ""Americans can fall for soap-opera material that looks like a movie, and it can become the most overrated piece of trash of all time"". I mean seriously, it's just a really shallow and overly-touchy love story with really obnoxious tendencies to take itself waaayy to seriously. Honestly, James Cameron directed Terminator 2, which I thought was really fun and enjoyable because though it had a coherent story, it was purposely far-fetched and seemed to understand that. Titanic is three-and-a-half hours of pain-inducing mediocrity (except for the previously mentioned design), with completely over-the-top sappiness and the cheapest tricks in the book as far as getting a simple-minded audience to feel really tingly inside. And this won 11 Academy Awards? I've got a review for the only other movie to achieve this feat, Return of the King, which I didn't like either, but I've got to say it was better than this. My only question is, why, America? Why does crap like this become so acclaimed? I think the reason this won all those Oscars was its popularity. And why is it so popular? In conclusion, Titanic is a bad episode of Days of Our Lives with a little spicing-up of the visuals and a little more emotional manipulation. But it amounts to what should have been a little blip on the radar that everyone understood as mediocrity. Instead people consider this ""art"" and ""beautiful, powerful, compelling"". So the only productive thing this movie has really done is to show us that America has pretty low tastes in entertainment, and seems to think that it's somehow artistic.",2/10
I rewatched it in 3D and it was truly legendary!,jnahm,13 December 2022,"After its first debut in theatre in 1997, I went to see it 3 times. I rewatched it many many many times after that on CD, DVD, cables, streamings, etc. Probably more than 30 times already throughout these years. Last night, I rewatched it in 3D at home with 3D glasses and I'd have to say, the cinematography is truly legendary! The depth is amazingly on point considering that the film was shot far before 3D technology becomes popular. Cameron made a truly amazing film. The detail of those productions in the film also needs to be applauded. And in 3D, you can see the emotions of the actors and extras very clearly and thus, the emotion hits you in the face. The flooding scenes were very real.. actually, every scenes were so believable. I'm impressed again every time I rewatched it with the skills of this director. This film is purely a masterpiece!",10/10
Passing (or Sinking) Fad,fcurry,10 August 2001,How on Earth did James Cameron sign on to make this! Fortunately at least 1/3 of the film is spent on a not-so-bad sinking scene...but still that's no excuse for a twisted overrated love affair that desperately wants to be Gone With The Wind or Spartacus but falls victim to its plain stupidity. No one talks about this movie nowadays or even whimpers at the soundtrack anymore which REALLY ticks me off because these are the same people who saw this film 178 times. Hollywood should stick with budget-busting action films like Die Hard that have stayed popular for nearly two decades.,1/10
Romance that did not sank with titanic!,MuviFan73,24 September 2017,"The movie puts light on the romance that Jack and Rose shared. Although Jack died that night but the love he placed in her heart will not die till she is alive. Titanic is among the first Hollywood movies that I got to see on television. I like this movie from the day I first saw it. It is just not about the emotions of the characters in the movie but the emotions of people who watch it as well.Direction, Screenplay, Cinematography: I got to know about huge investment made in construction of sets, water bodies and their working. Well I would say they all got well along (4/5).Tone: Movie takes us on a ride where two people fall in love but one dies as titanic sinks. It is how Rose has those emotions still with her and would go away only with her death. As they call now grown old Rose to explore sank titanic to find lost jewel. The jewel is although with Rose and the secret that what she does of it will die with her. I would say it as epic romantic tone. (5/5).Music: The movie puts light on how the musicians on board were still performing as titanic was sinking. It captures your heart (3.5/5).Acting: Acting is good (3.5/5).Final Verdict: It is worth adding to your DVD collection [(4/5) (9/10)].",9/10
"""I believe you will get your headlines Mr.Ismay"".",amiranda-39274,7 May 2022,"Today marks the 110th anniversary of that tragic cold night the titanic sank and so many lost their lives. It is a small tribute, but i feel this movie and all the attention it gets, helps us all to remember and honor those who perished.I did not see titanic in theatres, in fact i actively avoided it for many years, because i heard it was a melodramatic chick flick. But I am so relieved now that i decided to rent it one day from my local video store and see why this movie had one of the biggest box office records ever. I was not ready. Not only was i engrossed, i was blown away by the epic scenes of this movie. The acting, the visuals, the action, the music, it just captured my cynical heart, it was in every word an EPIC, and here are the reasons why that is.The Story: we all know what happened on April 15th 1912, and despite that, this movie does a excellent job building up to that fateful moment. Planting so many easter eggs and comments that in hindsight, the dialogue seems prophetic. ""Not even God himself could sink this ship"". James Cameron takes care to include as many historical accurate individuals and occurrences on the ship, and they all occur around the fictional couple of jack and rose. Rose is a heiress traveling with her fiancee and mother, and feels that she is being shock by her extravagant but depressing lifestyle. Which is why Jack plays such a monumental role in her life as he provides her an escape from her old life. This love story is told by a 100 year old rose, who is revisiting her memories of her voyage aboard the titanic, to help a treasure hunting crew find the Heart of the Ocean diamond that she wore all those years ago.The Characters: Jack is a simple guy, a traveling artist who wants to see the world and live life to the fullest, his speech at dinner about how life is a gift describes perfectly the kind of man he is. Rose, is the main character of the film, she is a troubled soul, and she desires a life with no chains, after meeting jack, her growth from a proper lady to a badass is very smooth and she obtains the life she always wanted through struggle and determination. Billy zane is the perfect villain who should have played lex luthor (He was even bald!)he sees himself as royalty and looks down upon those who dont meet his perfection, despite this, he is a very likable character just not for the right reasons. Favrizzio is jacks italian best friend, and i feel he was cheated since there a lot of deleted scenes of him that makes him more of a character, in the end he was heroic for cutting the boats free but sadly still died. There are so many characters in this film worth exploring that the run time of this film is just not enough, which is why i always wished for a mini series(i know one aleady exist s but i want one with this cast). There are just so many wonderful characters in this film, that everytime i watch it, i focus on a different person. Many of the people seen on the boat were actual historical figures, that cameron does a great job bringing them back to life. Also, there are many instances of people doing things that actually happened in the film, such as the little boy playing with his father, foreign people not understanding whats happening, the band playing, and women jumping back on the ship to be with their men, its all so poetically tragic to see these people.The Ship: Yes the ship deserves its own character study, its the name of the movie for crying out loud. The design of the ship itself is fantastic, cameron truly spent every penny he had making the set look as glorious as it did when it first existed. James Cameron truly resurrected this great ship, that was worthy of its name ""The Titanic"". Everytime i watch the take off of the ship, i always feel i have been transported back in time, and i am aboard, filled with excitement and melancholy. The foreshadowing of the ships fate is just excellent with its creator, Mr Andrews commenting about the shortage of boats, the speeding up by the captain, despite the risk of icebergs. I love seeing every part of the ship explored, such as the scene where jack and rose are jogging through the boiler room and the lower decks. Of course this ship comes more to life when it begins to sink. Showing every level being filled with water until it reaches the top. The lighting of the water makes the sinking ship look so atmospheric. Cameron had to flood the set for real in order to capture this epic scope of every room being filled with water. Mr andrews represents the heart of the ship and how sad it feels to have failed to deliver its passengers to land. There are also so many striking visuals that bring the ship even more to life, such as a woman in a dress drowned. The mother and children and elderly couple in bed. Roses picasso paintings .the dishes shattering. That shot of hordes of people running up to the tip of the boat. The priest praying.the boat rising, just so many instances and visuals that elevate the tragedy of the death of titanic. She was a good ship, strong and true, but alas she died along with her passengers.The Music: My God the Music! What more can be said? While the lyrics and celine dions voice make the song ""my heart will go on"" one of the most emotional pieces ever, it is the instrumental theme that is unbearably melancholy to me when played in highly emotional scenes such as the kiss scene and the ending in heaven.Conclusion: There are so many genres in this film, a romance, a action thriller, a horror film, and a thought provoking film about not being afraid to live. This movie is so extra with the themes of horrors in the hallways and the action thriller with billy zane using a gun the flooding in the halls I will admit i am not a fan of the goodbye between jack and rose not because it sad but because its kind of laughable. After all the horror and sudden death, we are getting this long winded speech from jack. There are several issues i have with this movie, but none of them can over come the cinematic brilliance that Cameron accomplished. I never watched this movie in theaters, not even the re-releases, but by God do I want to do it now. I watch this movie every year on the anniversary of the sinking, in my own way this movie allows me to remember the ship and the people who died in the north Atlantic ocean. This movie will forever live in my memory.",8/10
ICEBERG Ahead?,ThunderKing6,25 November 2018,This movie is about a love story that ends by the hands of an evil iceberg.Titanic was more about romance then about tragedy. The old lady and Jack are pure fiction only the iceberg was real.I say enjoy a good hour of watching people suffer because of an iceberg.,6/10
